what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1382023875666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382023895094
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1382023899491
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1382023899609
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1382023899634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382023909712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382023910822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382023910847
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1382023911901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382023911943
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1382023916131
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1382023916158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382023958126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382023964131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382023965015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382023967278
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1382024021225
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1382024021333
